date,suspects,refuses,cases,deaths
2020-01-30,1,1,0,0
2020-01-31,1,1,0,0
2020-02-01,1,1,0,0
2020-02-02,1,1,0,0
2020-02-03,0,2,0,0
2020-02-04,0,2,0,0
2020-02-05,0,2,0,0
2020-02-06,0,2,0,0
2020-02-06,0,2,0,0
2020-02-07,0,2,0,0
2020-02-08,0,2,0,0
2020-02-09,1,2,0,0
2020-02-10,1,2,0,0
2020-02-11,1,2,0,0
2020-02-12,1,2,0,0
2020-02-13,1,2,0,0
2020-02-14,1,2,0,0
2020-02-15,0,3,0,0
2020-02-16,0,3,0,0
2020-02-17,0,3,0,0
2020-02-18,0,3,0,0
2020-02-19,0,3,0,0
2020-02-20,0,3,0,0
2020-02-21,0,3,0,0
2020-02-22,0,3,0,0
2020-02-23,0,3,0,0
2020-02-24,0,3,0,0
2020-02-25,0,3,0,0
2020-02-25,0,3,0,0
2020-02-26,0,3,0,0
2020-02-27,5,3,0,0
2020-02-28,5,3,0,0
2020-02-29,5,3,0,0
2020-03-01,5,3,0,0
2020-03-02,7,8,0,0
2020-03-03,14,8,0,0
2020-03-04,13,8,0,0
2020-03-05,20,9,0,0
2020-03-06,25,13,0,0
2020-03-07,20,18,0,0
2020-03-08,22,20,0,0
2020-03-10,33,20,0,0
2020-03-11,49,27,0,0
2020-03-12,54,29,6,0
2020-03-13,72,34,6,0
2020-03-14,60,50,6,0
2020-03-15,80,50,6,0
2020-03-16,85,83,6,0
2020-03-17,240,82,6,0
2020-03-18,400,119,13,0
