state_code,state,cod_ibge,city
11,RO,110001,Alta Floresta D'Oeste
11,RO,110037,Alto Alegre dos Parecis
11,RO,110040,Alto Paraíso
11,RO,110034,Alvorada D'Oeste
11,RO,110002,Ariquemes
11,RO,110045,Buritis
11,RO,110003,Cabixi
11,RO,110060,Cacaulândia
11,RO,110004,Cacoal
11,RO,110070,Campo Novo de RO
11,RO,110080,Candeias do Jamari
11,RO,110090,Castanheiras
11,RO,110005,Cerejeiras
11,RO,110092,Chupinguaia
11,RO,110006,Colorado do Oeste
11,RO,110007,Corumbiara
11,RO,110008,Costa Marques
11,RO,110094,Cujubim
11,RO,110009,Espigão D'Oeste
11,RO,110100,Governador Jorge Teixeira
11,RO,110010,Guajará-Mirim
11,RO,110110,Itapuã do Oeste
11,RO,110011,Jaru
11,RO,110012,Ji-Paraná
11,RO,110013,Machadinho D'Oeste
11,RO,110120,Ministro Andreazza
11,RO,110130,Mirante da Serra
11,RO,110140,Monte Negro
11,RO,110014,Nova Brasilândia D'Oeste
11,RO,110033,Nova Mamoré
11,RO,110143,Nova União
11,RO,110050,Novo Horizonte do Oeste
11,RO,110015,Ouro Preto do Oeste
11,RO,110145,Parecis
11,RO,110018,Pimenta Bueno
11,RO,110146,Pimenteiras do Oeste
11,RO,110020,Porto Velho
11,RO,110025,Presidente Médici
11,RO,110147,Primavera de RO
11,RO,110026,Rio Crespo
11,RO,110028,Rolim de Moura
11,RO,110029,Santa Luzia D'Oeste
11,RO,110148,São Felipe D'Oeste
11,RO,110149,São Francisco do Guaporé
11,RO,110032,São Miguel do Guaporé
11,RO,110150,Seringueiras
11,RO,110155,Teixeirópolis
11,RO,110160,Theobroma
11,RO,110170,Urupá
11,RO,110175,Vale do Anari
11,RO,110180,Vale do Paraíso
11,RO,110030,Vilhena
12,Acre,120001,Acrelândia
12,Acre,120005,Assis Brasil
12,Acre,120010,Brasiléia
12,Acre,120013,Bujari
12,Acre,120017,Capixaba
12,Acre,120020,Cruzeiro do Sul
12,Acre,120025,Epitaciolândia
12,Acre,120030,Feijó
12,Acre,120032,Jordão
12,Acre,120033,Mâncio Lima
12,Acre,120034,Manoel Urbano
12,Acre,120035,Marechal Thaumaturgo
12,Acre,120038,Plácido de Castro
12,Acre,120080,Porto Acre
12,Acre,120039,Porto Walter
12,Acre,120040,Rio Branco
12,Acre,120042,Rodrigues Alves
12,Acre,120043,Santa Rosa do Purus
12,Acre,120050,Sena Madureira
12,Acre,120045,Senador Guiomard
12,Acre,120060,Tarauacá
12,Acre,120070,Xapuri
13,AM,130002,Alvarães
13,AM,130006,Amaturá
13,AM,130008,Anamã
13,AM,130010,Anori
13,AM,130014,Apuí
13,AM,130020,Atalaia do Norte
13,AM,130030,Autazes
13,AM,130040,Barcelos
13,AM,130050,Barreirinha
13,AM,130060,Benjamin Constant
13,AM,130063,Beruri
13,AM,130068,Boa Vista do Ramos
13,AM,130070,Boca do Acre
13,AM,130080,Borba
13,AM,130083,Caapiranga
13,AM,130090,Canutama
13,AM,130100,Carauari
13,AM,130110,Careiro
13,AM,130115,Careiro da Várzea
13,AM,130120,Coari
13,AM,130130,Codajás
13,AM,130140,Eirunepé
13,AM,130150,Envira
13,AM,130160,Fonte Boa
13,AM,130165,Guajará
13,AM,130170,Humaitá
13,AM,130180,Ipixuna
13,AM,130185,Iranduba
13,AM,130190,Itacoatiara
13,AM,130195,Itamarati
13,AM,130200,Itapiranga
13,AM,130210,Japurá
13,AM,130220,Juruá
13,AM,130230,Jutaí
13,AM,130240,Lábrea
13,AM,130250,Manacapuru
13,AM,130255,Manaquiri
13,AM,130260,Manaus
13,AM,130270,Manicoré
13,AM,130280,Maraã
13,AM,130290,Maués
13,AM,130300,Nhamundá
13,AM,130310,Nova Olinda do Norte
13,AM,130320,Novo Airão
13,AM,130330,Novo Aripuanã
13,AM,130340,Parintins
13,AM,130350,Pauini
13,AM,130353,Presidente Figueiredo
13,AM,130356,Rio Preto da Eva
13,AM,130360,Santa Isabel do Rio Negro
13,AM,130370,Santo Antônio do Içá
13,AM,130380,São Gabriel da Cachoeira
13,AM,130390,São Paulo de Olivença
13,AM,130395,São Sebastião do Uatumã
13,AM,130400,Silves
13,AM,130406,Tabatinga
13,AM,130410,Tapauá
13,AM,130420,Tefé
13,AM,130423,Tonantins
13,AM,130426,Uarini
13,AM,130430,Urucará
13,AM,130440,Urucurituba
14,RR,140005,Alto Alegre
14,RR,140002,Amajari
14,RR,140010,Boa Vista
14,RR,140015,Bonfim
14,RR,140017,Cantá
14,RR,140020,Caracaraí
14,RR,140023,Caroebe
14,RR,140028,Iracema
14,RR,140030,Mucajaí
14,RR,140040,Normandia
14,RR,140045,Pacaraima
14,RR,140047,Rorainópolis
14,RR,140050,São João da Baliza
14,RR,140060,São Luiz
14,RR,140070,Uiramutã
15,PA,150010,Abaetetuba
15,PA,150013,Abel Figueiredo
15,PA,150020,Acará
15,PA,150030,Afuá
15,PA,150034,Água Azul do Norte
15,PA,150040,Alenquer
15,PA,150050,Almeirim
15,PA,150060,Altamira
15,PA,150070,Anajás
15,PA,150080,Ananindeua
15,PA,150085,Anapu
15,PA,150090,Augusto Corrêa
15,PA,150095,Aurora do Pará
15,PA,150100,Aveiro
15,PA,150110,Bagre
15,PA,150120,Baião
15,PA,150125,Bannach
15,PA,150130,Barcarena
15,PA,150140,Belém
15,PA,150145,Belterra
